Q1,Q1_8_TEXT,Q4,Q32,Q33,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q8,Q9,Q10
Please select your position - Selected Choice,Please select your position - Other (please specify) - Text,"Please specify your workplace/hospital postcode (First 3 letters; if you're not in the United Kingdom, please specify your country)",Do you change your self-management advice for people with type 1 diabetes based on each individual's needs and condition? Please tick one or more of the following:,Please describe further,Dietary management,"Based on current Type 1 Diabetes guidance (eg: National Institute for Health and Care Excellence - NG17, American Diabetes Association or Europeans Association for the Study of Diabetes) which information from these guidance do you consider most helpful to support your clinical management in adults (over age of 25) with Type 1 Diabetes.



(Rank the list, '1' is the most important and '5' is the least important) - Physical activity","Based on current Type 1 Diabetes guidance (eg: National Institute for Health and Care Excellence - NG17, American Diabetes Association or Europeans Association for the Study of Diabetes) which information from these guidance do you consider most helpful to support your clinical management in adults (over age of 25) with Type 1 Diabetes.



(Rank the list, '1' is the most important and '5' is the least important) - Blood glucose management","Based on current Type 1 Diabetes guidance (eg: National Institute for Health and Care Excellence - NG17, American Diabetes Association or Europeans Association for the Study of Diabetes) which information from these guidance do you consider most helpful to support your clinical management in adults (over age of 25) with Type 1 Diabetes.



(Rank the list, '1' is the most important and '5' is the least important) - Insulin therapy and delivery","Based on current Type 1 Diabetes guidance (eg: National Institute for Health and Care Excellence - NG17, American Diabetes Association or Europeans Association for the Study of Diabetes) which information from these guidance do you consider most helpful to support your clinical management in adults (over age of 25) with Type 1 Diabetes.



(Rank the list, '1' is the most important and '5' is the least important) - Hypoglycaemia awareness and management",To what extent do you think blood glucose data presented in continuous glucose monitoring (CGM) and flash glucose monitoring systems are difficult to interpret for patients with type 1 diabetes?,How often do you think patients with type 1 diabetes misinterpret their blood glucose data from CGM or flash glucose monitoring systems?,To what extent do you think patients with type 1 diabetes correctly decide on the action to take in response to their blood glucose levels?
Other (please specify),"Retired GP, also worke as a Medical Advisor for the War Pensions Agency","GP in Maidstone in Kent, then as a solo GP in Rishton, Lancashire. ","I follow the national standards and guidance.,I always adjust my advice according to patient's clinical or personal needs.","diabetes Type 1 can strike anyone, including those of intellectual impairment. It is important that carers are given full information about treatment.",4,5,1,2,3,Easy to interpret,Sometimes,Usually correct
Consultant Physician,,M19,I always adjust my advice according to patient's clinical or personal needs.,"If the patient has significant diabetes distress, I will adjust and recommend clinical therapy according to that need.",4,5,2,1,3,Easy to interpret,Sometimes,Occasionally correct
Dietitian,,M13 9WL,"I follow local practice guidance.,I always adjust my advice according to patient's clinical or personal needs.",Always strive to use evidence based practice - however if a patient is choosing to do something different i will advise against but support how to do this in the safest way possible. For example T1DM following Ketogenic diets. I also might offer  something less cost effective e.g. type of meter if I feel it will improve compliance. ,2,5,4,1,3,Easy to interpret,Sometimes,Usually correct
Specialist Nurse Practitioner (Diabetes) – Hospital/Community care,,"Diabetes centre, Manchester Foundation trust",I always adjust my advice according to patient's clinical or personal needs.,I am aware of local and national guidance which structures my cloinical decision making process but if clinical needs dictate `I will go off that for the individual patien,4,5,3,1,2,Easy to interpret,Usually,Usually correct
Specialist Registrar,,SG1,"I follow the national standards and guidance.,I follow local practice guidance.,I always adjust my advice according to patient's clinical or personal needs.",Difficult to answer this one. I use the national and local guidance as a basis for discussion then adjust in collaboration with the patient,4,5,1,2,3,Easy to interpret,Sometimes,Usually correct
GP,,Royal Liverpool University Hospital,"I follow the national standards and guidance.,I follow local practice guidance.,I always adjust my advice according to patient's clinical or personal needs.",I give advice base on patient peculiarities,3,2,4,5,1,Easy to interpret,Usually,Occasionally correct
Specialist Nurse Practitioner (Diabetes) – Primary/Community care,,AL7,I always adjust my advice according to patient's clinical or personal needs.,I will discuss national and local guidance with each person with Type 1diabetes and adjust my advice according to their clinical or personal needs,4,5,3,1,2,Easy to interpret,Rarely,Almost always correct
Specialist Registrar,,royal manchester children's hospital,I always adjust my advice according to patient's clinical or personal needs.,The guidelines are there as a guide and not a protocol. They offer advice and a general structure but individualisation of care is vital. ,3,5,2,1,4,Difficult to interpret,Sometimes,Occasionally correct
Consultant Physician,,Peterborough City Hospital ,"I follow the national standards and guidance.,I always follow local practice guidance and rarely change my advice according to patient's clinical or personal needs.","I will follow NICE guidance , but may make exceptions based on the holistic approach to patient care",5,4,1,2,3,Easy to interpret,Usually,Occasionally correct
Consultant Physician,,M19,"I follow the national standards and guidance.,I always adjust my advice according to patient's clinical or personal needs.",Evidence based but also based on personalised clinical needs.,4,5,2,1,3,Neither difficult nor easy to interpret,Sometimes,Occasionally correct
Consultant Physician,,M1,I always adjust my advice according to patient's clinical or personal needs.,Physical activity tends to be a problem rather then solution ,4,5,1,2,3,Easy to interpret,Sometimes,Occasionally correct
Specialist Registrar,,S10 2JF,I follow the national standards and guidance.,Better outcome ,3,5,1,2,4,Easy to interpret,Sometimes,Occasionally correct
Dietitian,,RH1,I always follow the national standards and guidance and rarely change my advice according to patient's clinical or personal needs.,"Trust dictates I follow the guidance, with target advice based on individual circumstance ",4,5,1,2,3,Easy to interpret,Sometimes,Usually correct
Consultant Physician,,Worthing Hospital ,"I follow the national standards and guidance.,I follow local practice guidance.,I always adjust my advice according to patient's clinical or personal needs.",Individualised ,2,3,4,5,1,Easy to interpret,Usually,Usually correct
Specialist Registrar,,N19,I always follow local practice guidance and rarely change my advice according to patient's clinical or personal needs.,I do tailor to individual patients but this is dependent on time to see the patient (shit appointment times),4,5,1,2,3,Difficult to interpret,Sometimes,Occasionally correct
Consultant Physician,,Bir,I follow the national standards and guidance.,Nice and dtn,2,3,5,1,4,Neither difficult nor easy to interpret,Sometimes,Occasionally correct
Specialist Nurse Practitioner (Diabetes) – Primary/Community care,,WA9,"I follow the national standards and guidance.,I follow local practice guidance.,I always adjust my advice according to patient's clinical or personal needs.",Follow nice alongside local guidance ,4,5,1,2,3,Easy to interpret,Sometimes,Occasionally correct
Consultant Physician,,n1 5tt,I always follow the national standards and guidance and rarely change my advice according to patient's clinical or personal needs.,hjhh,3,2,1,4,5,Neither difficult nor easy to interpret,Sometimes,Occasionally correct
GP,,SS2,"I follow the national standards and guidance.,I follow local practice guidance.,I always follow the national standards and guidance and rarely change my advice according to patient's clinical or personal needs.",none,2,1,3,4,5,Very difficult to interpret,Always,Usually correct